,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,40.0,19.0,26.0,25.0,69.0,105.0,55.0,48.0,73.0,33.0,45.0,52.0,132.0,23.0,150.0,77.0,189.0,28.0,239.0,234.0,253.0,70.0,309.0,176.0,146.0,152.0,85.0,64.0,49.0,58.0,103.0,84.0,122.0,348.0,222.0,80.0,73.0
1,57.0,138.0,45.0,114.0,,43.0,36.0,83.0,247.0,42.0,105.0,50.0,100.0,125.0,149.0,40.0,126.0,259.0,241.0,346.0,245.0,207.0,209.0,137.0,463.0,595.0,145.0,36.0,86.0,876.0,876.0,938.0,254.0,456.0,324.0,136.0,40.0
2,110.0,49.0,127.0,,,,37.0,160.0,69.0,48.0,58.0,169.0,55.0,81.0,47.0,138.0,42.0,288.0,99.0,302.0,286.0,266.0,280.0,348.0,88.0,74.0,721.0,89.0,722.0,18.0,71.0,136.0,98.0,30.0,83.0,16.0,25.0
3,22.0,,,,,,30.0,86.0,106.0,75.0,37.0,544.0,72.0,46.0,71.0,166.0,112.0,110.0,134.0,84.0,104.0,82.0,15.0,318.0,324.0,403.0,57.0,687.0,63.0,292.0,43.0,320.0,296.0,187.0,406.0,30.0,28.0
4,,,,,,,83.0,,,78.0,34.0,363.0,32.0,90.0,43.0,86.0,27.0,90.0,39.0,110.0,95.0,91.0,206.0,203.0,195.0,45.0,54.0,67.0,339.0,33.0,306.0,406.0,446.0,954.0,,234.0,67.0
5,,,,,,,,,,423.0,55.0,,35.0,164.0,133.0,153.0,24.0,63.0,59.0,99.0,100.0,54.0,72.0,500.0,418.0,221.0,506.0,21.0,375.0,452.0,459.0,275.0,192.0,,,79.0,44.0
6,,,,,,,,,,29.0,214.0,,117.0,60.0,102.0,97.0,78.0,106.0,78.0,90.0,94.0,172.0,205.0,53.0,72.0,351.0,23.0,531.0,411.0,452.0,238.0,1610.0,1466.0,,,428.0,70.0
7,,,,,,,,,,247.0,491.0,,477.0,31.0,84.0,110.0,110.0,310.0,82.0,99.0,358.0,399.0,485.0,1726.0,1693.0,1771.0,211.0,52.0,1642.0,1781.0,1649.0,210.0,,,,166.0,19.0
8,,,,,,,,,,,289.0,,125.0,123.0,566.0,73.0,66.0,295.0,237.0,277.0,155.0,124.0,135.0,492.0,480.0,380.0,386.0,287.0,365.0,222.0,89.0,,,,,,
9,,,,,,,,,,,131.0,,191.0,61.0,306.0,716.0,197.0,1719.0,186.0,179.0,1705.0,1701.0,1815.0,,216.0,123.0,1672.0,426.0,308.0,255.0,,,,,,,
10,,,,,,,,,,,,,54.0,450.0,257.0,347.0,74.0,312.0,1501.0,1617.0,440.0,452.0,489.0,,,,364.0,1688.0,,,,,,,,,
11,,,,,,,,,,,,,,198.0,20.0,313.0,1420.0,132.0,452.0,483.0,,,,,,,272.0,266.0,,,,,,,,,
12,,,,,,,,,,,,,,188.0,,171.0,296.0,91.0,211.0,,,,,,,,,319.0,,,,,,,,,
13,,,,,,,,,,,,,,77.0,,,183.0,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,
